window_id,window_start_utc,window_end_utc,product_id,depth,target_samples,successful_samples,failed_samples,imbalance_mean,imbalance_median,imbalance_min,imbalance_max,bid_volume_mean,ask_volume_mean,notes
btc_usd_d10_20260422T032644Z,2026-04-22T03:26:44.303026Z,2026-04-22T04:25:44.381738Z,BTC-USD,10,60,60,0,-0.020880569328,0.102806693394,-0.947993256455,0.966884359371,1.205736160167,0.806250661167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T060450Z,2026-04-22T06:04:50.990568Z,2026-04-22T07:03:51.612074Z,BTC-USD,10,60,60,0,-0.029379166792,0.072024657867,-0.946410220989,0.801713935756,0.772550172667,0.721567239167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T085134Z,2026-04-22T08:51:34.736820Z,2026-04-22T09:50:34.806830Z,BTC-USD,10,60,60,0,-0.305037593328,-0.364933230634,-0.9996562242,0.756293705001,0.466686874333,0.908540351833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T102344Z,2026-04-22T10:23:44.597380Z,2026-04-22T11:22:44.678158Z,BTC-USD,10,60,60,0,-0.077735128017,0.008021556576,-0.934497231195,0.895044823751,0.723092431167,0.740191260167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T120257Z,2026-04-22T12:02:57.113526Z,2026-04-22T13:01:57.217714Z,BTC-USD,10,60,60,0,-0.20885120615,-0.248904968188,-0.851608266251,0.766777792077,0.675323450667,0.981658952667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T145022Z,2026-04-22T14:50:22.691906Z,2026-04-22T15:49:22.861294Z,BTC-USD,10,60,60,0,-0.075997137498,-0.024633839424,-0.93040086055,0.781136615283,0.613018559333,0.7623782485,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T161358Z,2026-04-22T16:13:58.091397Z,2026-04-22T17:12:58.174242Z,BTC-USD,10,60,60,0,-0.177059636228,-0.239721998749,-0.982299118363,0.89165324922,0.536968107167,0.807335076667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T180415Z,2026-04-22T18:04:15.342863Z,2026-04-22T19:03:15.459824Z,BTC-USD,10,60,60,0,-0.221370073493,-0.317592661844,-0.999984402528,0.877252571544,0.596428661833,0.855484579,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T200941Z,2026-04-22T20:09:41.323796Z,2026-04-22T21:08:41.405505Z,BTC-USD,10,60,60,0,-0.03298658781,-0.004645572783,-0.942838076466,0.908165881717,0.751103035667,0.7294302745,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T215559Z,2026-04-22T21:55:59.341611Z,2026-04-22T22:54:59.522281Z,BTC-USD,10,60,60,0,0.094757548385,0.156012743664,-0.971851201444,0.847483966313,1.0657547305,0.760751827333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260422T225558Z,2026-04-22T22:55:58.858996Z,2026-04-22T23:54:59.046585Z,BTC-USD,10,60,60,0,-0.036582923156,0.001425023171,-0.971027421107,0.981877640978,0.704528677,0.732549007167,hourly window sampler; minute rows are collected live during the run
