window_id,sample_index,planned_at_utc,collected_at_utc,product_id,depth,status,error,sequence,snapshot_time_utc,bid_volume,ask_volume,imbalance,best_bid,best_ask,mid_price,spread,spread_bps,bids_json,asks_json
btc_usd_d10_20260606T001430Z,0,2026-06-06T00:14:30.144040Z,2026-06-06T00:14:30.144075Z,BTC-USD,10,ok,,129905013403,2026-06-06T00:14:29.140586485Z,0.52584217,0.58345588,-0.051937087602,61384.510000000002,61384.519999999997,61384.514999999999,0.009999999995,0.001629075345,"[{""price"":61384.51,""size"":0.04015843,""num_orders"":3},{""price"":61384.0,""size"":0.0081,""num_orders"":1},{""price"":61382.0,""size"":0.0081,""num_orders"":1},{""price"":61381.67,""size"":0.13040942,""num_orders"":1},{""price"":61380.0,""size"":0.0077,""num_orders"":1},{""price"":61379.94,""size"":0.01707014,""num_orders"":1},{""price"":61379.82,""size"":0.13040942,""num_orders"":1},{""price"":61378.85,""size"":0.04887676,""num_orders"":1},{""price"":61378.48,""size"":1.8e-05,""num_orders"":1},{""price"":61378.37,""size"":0.135,""num_orders"":1}]","[{""price"":61384.52,""size"":0.00557339,""num_orders"":1},{""price"":61384.71,""size"":0.0488721,""num_orders"":1},{""price"":61386.98,""size"":0.01305878,""num_orders"":1},{""price"":61387.2,""size"":0.16290041,""num_orders"":1},{""price"":61388.0,""size"":0.0077,""num_orders"":1},{""price"":61388.27,""size"":0.13040942,""num_orders"":1},{""price"":61389.69,""size"":0.01707014,""num_orders"":1},{""price"":61389.7,""size"":0.05976222,""num_orders"":1},{""price"":61390.0,""size"":0.0077,""num_orders"":1},{""price"":61390.32,""size"":0.13040942,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,1,2026-06-06T00:15:30.144040Z,2026-06-06T00:15:30.144169Z,BTC-USD,10,ok,,129905064060,2026-06-06T00:15:27.689117925Z,0.61372045,0.79526564,-0.128848106655,61447.720000000001,61448.690000000002,61448.205000000002,0.970000000001,0.15785652323,"[{""price"":61447.72,""size"":0.0067,""num_orders"":1},{""price"":61446.72,""size"":0.01705341,""num_orders"":1},{""price"":61446.71,""size"":0.13040942,""num_orders"":1},{""price"":61444.35,""size"":0.04400427,""num_orders"":1},{""price"":61444.34,""size"":0.13040942,""num_orders"":1},{""price"":61443.15,""size"":0.0146515,""num_orders"":1},{""price"":61442.57,""size"":0.04882608,""num_orders"":1},{""price"":61441.98,""size"":0.13040942,""num_orders"":1},{""price"":61441.97,""size"":0.06519172,""num_orders"":1},{""price"":61441.96,""size"":0.02606521,""num_orders"":1}]","[{""price"":61448.69,""size"":0.04882122,""num_orders"":1},{""price"":61450.0,""size"":0.09116696,""num_orders"":2},{""price"":61450.95,""size"":0.01705341,""num_orders"":1},{""price"":61450.96,""size"":1.8e-05,""num_orders"":1},{""price"":61451.48,""size"":0.16273001,""num_orders"":1},{""price"":61452.0,""size"":0.0098,""num_orders"":1},{""price"":61453.62,""size"":0.13040942,""num_orders"":1},{""price"":61453.64,""size"":0.32544862,""num_orders"":1},{""price"":61453.98,""size"":1.8e-05,""num_orders"":1},{""price"":61454.0,""size"":0.0098,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,2,2026-06-06T00:16:30.144040Z,2026-06-06T00:16:30.144153Z,BTC-USD,10,ok,,129905138911,2026-06-06T00:16:28.834812843Z,0.41491666,0.41796355,-0.00365825717,61478.519999999997,61481,61479.759999999995,2.480000000003,0.403384788751,"[{""price"":61478.52,""size"":0.0067,""num_orders"":1},{""price"":61478.02,""size"":0.01705341,""num_orders"":1},{""price"":61478.01,""size"":0.00394396,""num_orders"":1},{""price"":61478.0,""size"":0.0143,""num_orders"":1},{""price"":61477.04,""size"":0.04879869,""num_orders"":1},{""price"":61476.0,""size"":0.0143,""num_orders"":1},{""price"":61474.0,""size"":0.0143,""num_orders"":1},{""price"":61473.65,""size"":0.13040942,""num_orders"":1},{""price"":61473.64,""size"":0.16267133,""num_orders"":1},{""price"":61473.4,""size"":0.00243985,""num_orders"":1}]","[{""price"":61481.0,""size"":0.0067,""num_orders"":1},{""price"":61481.15,""size"":0.13040942,""num_orders"":1},{""price"":61481.16,""size"":1.8e-05,""num_orders"":1},{""price"":61482.0,""size"":0.0143,""num_orders"":1},{""price"":61482.31,""size"":0.04879453,""num_orders"":1},{""price"":61482.57,""size"":0.0097,""num_orders"":1},{""price"":61483.38,""size"":0.06519172,""num_orders"":1},{""price"":61483.91,""size"":4.046e-05,""num_orders"":1},{""price"":61484.0,""size"":0.0124,""num_orders"":1},{""price"":61484.16,""size"":0.13040942,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,3,2026-06-06T00:17:30.144040Z,2026-06-06T00:17:30.144171Z,BTC-USD,10,ok,,129905198575,2026-06-06T00:17:27.613648874Z,0.59310133,0.22531571,0.449386562137,61442.669999999998,61442.68,61442.675000000003,0.010000000002,0.001627533307,"[{""price"":61442.67,""size"":0.00672398,""num_orders"":2},{""price"":61442.13,""size"":0.04882643,""num_orders"":1},{""price"":61442.12,""size"":0.13040942,""num_orders"":1},{""price"":61442.11,""size"":0.06519172,""num_orders"":1},{""price"":61442.0,""size"":0.0094,""num_orders"":1},{""price"":61441.91,""size"":0.01703757,""num_orders"":1},{""price"":61441.9,""size"":1.8e-05,""num_orders"":1},{""price"":61440.0,""size"":0.02232317,""num_orders"":2},{""price"":61439.54,""size"":0.16276162,""num_orders"":1},{""price"":61439.48,""size"":0.13040942,""num_orders"":1}]","[{""price"":61442.68,""size"":0.02011976,""num_orders"":2},{""price"":61444.19,""size"":0.00244123,""num_orders"":1},{""price"":61446.0,""size"":0.009,""num_orders"":1},{""price"":61447.47,""size"":0.05585439,""num_orders"":1},{""price"":61447.69,""size"":0.04882201,""num_orders"":1},{""price"":61448.0,""size"":0.0099,""num_orders"":1},{""price"":61448.79,""size"":0.01703757,""num_orders"":1},{""price"":61448.8,""size"":0.00244123,""num_orders"":1},{""price"":61449.6,""size"":0.05696,""num_orders"":1},{""price"":61449.99,""size"":0.00273952,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,4,2026-06-06T00:18:30.144040Z,2026-06-06T00:18:30.144161Z,BTC-USD,10,ok,,129905263830,2026-06-06T00:18:29.618903491Z,0.41564237,0.40963916,0.007274135894,61366.400000000001,61366.410000000003,61366.404999999999,0.010000000002,0.001629556107,"[{""price"":61366.4,""size"":0.04563532,""num_orders"":3},{""price"":61365.01,""size"":1.6e-07,""num_orders"":1},{""price"":61364.33,""size"":0.01919104,""num_orders"":2},{""price"":61364.32,""size"":0.13040942,""num_orders"":1},{""price"":61364.3,""size"":0.04888835,""num_orders"":1},{""price"":61364.0,""size"":0.0069,""num_orders"":1},{""price"":61363.38,""size"":1.8e-05,""num_orders"":1},{""price"":61363.1,""size"":0.02729066,""num_orders"":1},{""price"":61362.0,""size"":0.0069,""num_orders"":1},{""price"":61361.74,""size"":0.13040942,""num_orders"":1}]","[{""price"":61366.41,""size"":0.00353297,""num_orders"":2},{""price"":61368.0,""size"":0.0069,""num_orders"":1},{""price"":61370.0,""size"":0.00659133,""num_orders"":1},{""price"":61371.01,""size"":0.05653148,""num_orders"":1},{""price"":61371.02,""size"":0.00244433,""num_orders"":1},{""price"":61371.03,""size"":0.13040942,""num_orders"":1},{""price"":61371.47,""size"":0.01703757,""num_orders"":1},{""price"":61371.48,""size"":0.04888264,""num_orders"":1},{""price"":61372.0,""size"":0.0069,""num_orders"":1},{""price"":61372.96,""size"":0.13040942,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,5,2026-06-06T00:19:30.144040Z,2026-06-06T00:19:30.144156Z,BTC-USD,10,ok,,129905328726,2026-06-06T00:19:28.341784797Z,0.29945529,0.94780937,-0.519820773243,61292.010000000002,61292.019999999997,61292.014999999999,0.009999999995,0.001631533895,"[{""price"":61292.01,""size"":0.02851986,""num_orders"":3},{""price"":61292.0,""size"":0.0079,""num_orders"":1},{""price"":61291.99,""size"":0.00022008,""num_orders"":3},{""price"":61290.0,""size"":0.0079,""num_orders"":1},{""price"":61288.38,""size"":0.04894891,""num_orders"":1},{""price"":61288.05,""size"":0.06519172,""num_orders"":1},{""price"":61288.0,""size"":0.0079,""num_orders"":1},{""price"":61287.88,""size"":1.8e-05,""num_orders"":1},{""price"":61287.7,""size"":0.13040942,""num_orders"":1},{""price"":61287.41,""size"":0.0024473,""num_orders"":1}]","[{""price"":61292.02,""size"":0.01114568,""num_orders"":1},{""price"":61293.23,""size"":0.04894504,""num_orders"":1},{""price"":61295.99,""size"":0.13040942,""num_orders"":1},{""price"":61296.0,""size"":0.0079,""num_orders"":1},{""price"":61296.01,""size"":0.1,""num_orders"":1},{""price"":61297.58,""size"":0.01709365,""num_orders"":1},{""price"":61297.59,""size"":0.16313856,""num_orders"":1},{""price"":61297.61,""size"":0.32627702,""num_orders"":1},{""price"":61298.0,""size"":0.0079,""num_orders"":1},{""price"":61298.15,""size"":0.135,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,6,2026-06-06T00:20:30.144040Z,2026-06-06T00:20:30.144152Z,BTC-USD,10,ok,,129905394265,2026-06-06T00:20:30.047197877Z,0.24570105,1.38896421,-0.699386711136,61266.730000000003,61266.739999999998,61266.735000000001,0.009999999995,0.001632207101,"[{""price"":61266.73,""size"":0.0232606,""num_orders"":2},{""price"":61264.37,""size"":0.04140789,""num_orders"":1},{""price"":61263.98,""size"":0.00515968,""num_orders"":1},{""price"":61262.0,""size"":0.0071,""num_orders"":1},{""price"":61260.0,""size"":0.0071,""num_orders"":1},{""price"":61259.39,""size"":0.01710646,""num_orders"":1},{""price"":61259.38,""size"":0.00244842,""num_orders"":1},{""price"":61258.0,""size"":0.0071,""num_orders"":1},{""price"":61257.68,""size"":1.8e-05,""num_orders"":1},{""price"":61257.19,""size"":0.135,""num_orders"":1}]","[{""price"":61266.74,""size"":0.015218,""num_orders"":3},{""price"":61267.0,""size"":0.048966,""num_orders"":1},{""price"":61267.49,""size"":0.13040942,""num_orders"":1},{""price"":61267.5,""size"":1.0,""num_orders"":1},{""price"":61268.0,""size"":0.0071,""num_orders"":1},{""price"":61269.67,""size"":0.13040942,""num_orders"":1},{""price"":61269.76,""size"":1.8e-05,""num_orders"":1},{""price"":61270.0,""size"":0.0071,""num_orders"":1},{""price"":61271.73,""size"":0.03263691,""num_orders"":1},{""price"":61271.99,""size"":0.01710646,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,7,2026-06-06T00:21:30.144040Z,2026-06-06T00:21:30.144157Z,BTC-USD,10,ok,,129905452897,2026-06-06T00:21:29.604114256Z,0.38441194,1.72218974,-0.635040697395,61317.809999999998,61317.82,61317.815000000002,0.010000000002,0.001630847414,"[{""price"":61317.81,""size"":0.02219309,""num_orders"":3},{""price"":61317.2,""size"":0.0067,""num_orders"":1},{""price"":61316.19,""size"":0.13044539,""num_orders"":2},{""price"":61316.0,""size"":0.0086,""num_orders"":1},{""price"":61314.0,""size"":0.0086,""num_orders"":1},{""price"":61313.16,""size"":0.01708828,""num_orders"":1},{""price"":61313.15,""size"":0.13040942,""num_orders"":1},{""price"":61312.74,""size"":0.04892947,""num_orders"":1},{""price"":61312.6,""size"":0.00244629,""num_orders"":1},{""price"":61312.0,""size"":0.009,""num_orders"":1}]","[{""price"":61317.82,""size"":0.04737793,""num_orders"":1},{""price"":61318.08,""size"":1.8e-05,""num_orders"":1},{""price"":61319.09,""size"":0.00968138,""num_orders"":1},{""price"":61319.56,""size"":0.16308011,""num_orders"":1},{""price"":61320.0,""size"":1.009,""num_orders"":2},{""price"":61320.91,""size"":0.01708828,""num_orders"":1},{""price"":61320.92,""size"":0.32615297,""num_orders"":1},{""price"":61321.1,""size"":1.8e-05,""num_orders"":1},{""price"":61321.28,""size"":0.01936365,""num_orders"":1},{""price"":61321.73,""size"":0.13040942,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,8,2026-06-06T00:22:30.144040Z,2026-06-06T00:22:30.144158Z,BTC-USD,10,ok,,129905514446,2026-06-06T00:22:28.604665912Z,0.58974928,0.96830044,-0.242964749546,61203.099999999999,61203.110000000001,61203.104999999996,0.010000000002,0.001633904032,"[{""price"":61203.1,""size"":0.00703,""num_orders"":1},{""price"":61202.0,""size"":0.0124,""num_orders"":1},{""price"":61200.0,""size"":0.01294782,""num_orders"":2},{""price"":61198.9,""size"":0.2612561,""num_orders"":1},{""price"":61197.28,""size"":1.8e-05,""num_orders"":1},{""price"":61196.01,""size"":0.01708803,""num_orders"":1},{""price"":61196.0,""size"":0.0124,""num_orders"":1},{""price"":61194.94,""size"":0.2612561,""num_orders"":1},{""price"":61194.73,""size"":0.00533523,""num_orders"":2},{""price"":61194.26,""size"":1.8e-05,""num_orders"":1}]","[{""price"":61203.11,""size"":0.06610514,""num_orders"":2},{""price"":61203.88,""size"":0.0097,""num_orders"":1},{""price"":61204.18,""size"":0.048,""num_orders"":1},{""price"":61205.44,""size"":0.00245101,""num_orders"":1},{""price"":61206.0,""size"":0.0124,""num_orders"":1},{""price"":61206.19,""size"":0.16338217,""num_orders"":1},{""price"":61207.23,""size"":0.06584919,""num_orders"":1},{""price"":61207.59,""size"":0.2612561,""num_orders"":1},{""price"":61207.6,""size"":0.32675683,""num_orders"":1},{""price"":61208.0,""size"":0.0124,""num_orders"":1}]"
btc_usd_d10_20260606T001430Z,9,2026-06-06T00:23:30.144040Z,2026-06-06T00:23:30.144155Z,BTC-USD,10,ok,,129905577648,2026-06-06T00:23:29.322204422Z,0.48365577,0.38864407,0.108920918752,61186.769999999997,61187.519999999997,61187.144999999997,0.75,0.122574766317,"[{""price"":61186.77,""size"":0.00703,""num_orders"":1},{""price"":61186.41,""size"":0.005,""num_orders"":1},{""price"":61184.61,""size"":0.01711732,""num_orders"":1},{""price"":61184.6,""size"":0.13071233,""num_orders"":1},{""price"":61184.58,""size"":0.04903195,""num_orders"":1},{""price"":61184.0,""size"":0.0064,""num_orders"":1},{""price"":61182.44,""size"":0.13071233,""num_orders"":1},{""price"":61182.43,""size"":0.135,""num_orders"":1},{""price"":61182.18,""size"":1.8e-05,""num_orders"":1},{""price"":61182.11,""size"":0.00263384,""num_orders"":1}]","[{""price"":61187.52,""size"":0.0067,""num_orders"":1},{""price"":61188.0,""size"":0.0064,""num_orders"":1},{""price"":61189.76,""size"":0.04902781,""num_orders"":1},{""price"":61190.0,""size"":0.0064,""num_orders"":1},{""price"":61191.24,""size"":1.8e-05,""num_orders"":1},{""price"":61191.99,""size"":0.01711732,""num_orders"":1},{""price"":61192.0,""size"":0.0064,""num_orders"":1},{""price"":61192.57,""size"":0.00245154,""num_orders"":1},{""price"":61192.7,""size"":0.13071233,""num_orders"":1},{""price"":61193.12,""size"":0.16341707,""num_orders"":1}]"
